Timestamp,Date,Distance,k,Ax,Ay,Az,Xx,Xy,Xz,TRx,TRy,TRz,BRx,BRy,BRz,Bx,By,Bz,Cx,Cy,Cz,Ux,Uy,Uz,Vx,Vy,Vz,Wx,Wy,Wz,L_Roll,L_Tilt,R_Roll,R_Tilt
1775398807.261,2026-04-05 19:50:07,17.812,0.487,-108.01,63.679,346.793,-90.342,64.191,348.995,-107.429,36.845,348.588,-108.592,90.512,344.997,-89.665,38.032,349.811,-91.056,91.787,348.133,18.345,-25.647,3.018,0.995,0.028,0.097,-1.391,53.756,-1.678,1.613,173.252,1.569,176.681
1775398807.769,2026-04-05 19:50:07,17.813,0.486,-108.034,63.683,346.905,-90.357,64.196,349.051,-107.452,36.85,348.707,-108.615,90.516,345.104,-89.686,38.05,349.901,-91.067,91.804,348.153,18.348,-25.633,2.996,0.995,0.028,0.098,-1.381,53.754,-1.748,1.62,173.186,1.562,176.675
1775398808.292,2026-04-05 19:50:08,17.791,0.487,-107.992,63.683,346.748,-90.367,64.201,349.116,-107.408,36.847,348.512,-108.576,90.519,344.983,-89.689,38.041,349.988,-91.082,91.793,348.196,18.303,-25.642,3.24,0.995,0.028,0.096,-1.393,53.752,-1.792,1.611,173.308,1.574,176.709
1775398808.795,2026-04-05 19:50:08,17.818,0.487,-108.033,63.699,346.901,-90.353,64.222,349.058,-107.428,36.861,348.626,-108.637,90.537,345.177,-89.675,38.029,349.878,-91.066,91.784,348.194,18.358,-25.67,2.977,0.995,0.029,0.098,-1.391,53.755,-1.685,1.654,173.256,1.564,176.834
1775398809.308,2026-04-05 19:50:09,17.828,0.487,-108.038,63.703,346.915,-90.329,64.214,348.906,-107.447,36.867,348.673,-108.629,90.539,345.157,-89.645,38.021,349.661,-91.048,91.78,348.111,18.393,-25.682,2.746,0.995,0.028,0.098,-1.403,53.759,-1.55,1.631,173.228,1.575,176.765
1775398809.822,2026-04-05 19:50:09,17.83,0.488,-108.04,63.721,346.947,-90.339,64.239,349.02,-107.443,36.884,348.681,-108.637,90.559,345.212,-89.657,38.029,349.842,-91.055,91.784,348.157,18.383,-25.693,2.896,0.995,0.028,0.099,-1.398,53.755,-1.685,1.641,173.235,1.575,176.72
1775398810.323,2026-04-05 19:50:10,17.845,0.488,-108.06,63.718,346.995,-90.326,64.232,348.912,-107.461,36.88,348.732,-108.66,90.555,345.257,-89.634,38.001,349.682,-91.051,91.759,348.104,18.426,-25.716,2.688,0.995,0.029,0.099,-1.418,53.758,-1.579,1.648,173.215,1.592,176.76
1775398810.831,2026-04-05 19:50:10,17.809,0.486,-107.999,63.649,346.768,-90.335,64.151,348.978,-107.434,36.816,348.583,-108.564,90.482,344.952,-89.643,38.017,349.765,-91.066,91.773,348.146,18.356,-25.632,2.998,0.995,0.027,0.096,-1.423,53.756,-1.62,1.579,173.263,1.602,176.662
1775398811.357,2026-04-05 19:50:11,17.821,0.487,-108.029,63.697,346.889,-90.335,64.207,348.954,-107.445,36.863,348.673,-108.613,90.532,345.104,-89.644,38.013,349.685,-91.063,91.773,348.184,18.385,-25.685,2.796,0.995,0.028,0.097,-1.419,53.76,-1.5,1.619,173.241,1.587,176.893
1775398811.896,2026-04-05 19:50:11,17.814,0.487,-108.012,63.686,346.831,-90.34,64.206,349.012,-107.417,36.851,348.598,-108.608,90.521,345.064,-89.669,38.051,349.811,-91.048,91.808,348.168,18.344,-25.635,2.98,0.995,0.028,0.097,-1.38,53.757,-1.644,1.64,173.249,1.553,176.762
1775398812.42,2026-04-05 19:50:12,17.82,0.487,-108.015,63.698,346.844,-90.334,64.212,349.012,-107.424,36.86,348.564,-108.606,90.536,345.123,-89.654,38.036,349.832,-91.051,91.792,348.149,18.361,-25.662,2.988,0.995,0.028,0.098,-1.397,53.755,-1.684,1.624,173.255,1.575,176.711
1775398812.927,2026-04-05 19:50:12,17.805,0.487,-108.016,63.7,346.852,-90.357,64.218,349.068,-107.427,36.865,348.626,-108.605,90.535,345.078,-89.679,38.016,349.979,-91.07,91.766,348.11,18.337,-25.684,3.127,0.995,0.028,0.097,-1.391,53.749,-1.87,1.626,173.267,1.576,176.639
1775398813.429,2026-04-05 19:50:13,17.804,0.487,-108.001,63.682,346.754,-90.347,64.204,349.0,-107.405,36.848,348.539,-108.598,90.516,344.969,-89.662,38.037,349.781,-91.07,91.794,348.177,18.339,-25.646,3.026,0.995,0.028,0.096,-1.408,53.757,-1.603,1.64,173.302,1.585,176.669
1775398813.962,2026-04-05 19:50:13,17.845,0.488,-108.055,63.728,346.923,-90.328,64.246,348.902,-107.454,36.892,348.678,-108.657,90.564,345.167,-89.642,38.004,349.691,-91.048,91.761,348.073,18.413,-25.724,2.769,0.995,0.029,0.098,-1.406,53.757,-1.618,1.652,173.25,1.583,176.712
1775398814.465,2026-04-05 19:50:14,17.814,0.487,-108.02,63.695,346.872,-90.337,64.21,348.968,-107.429,36.861,348.65,-108.61,90.53,345.095,-89.661,38.041,349.736,-91.051,91.8,348.158,18.359,-25.654,2.864,0.995,0.028,0.098,-1.39,53.759,-1.578,1.633,173.228,1.56,176.818
1775398815.805,2026-04-05 19:50:15,17.754,0.484,-107.928,63.582,346.509,-90.354,64.076,348.987,-107.385,36.753,348.378,-108.47,90.412,344.64,-89.665,38.035,349.749,-91.087,91.794,348.177,18.262,-25.547,3.24,0.995,0.027,0.093,-1.421,53.758,-1.573,1.531,173.342,1.597,176.701
1775398816.326,2026-04-05 19:50:16,17.833,0.487,-108.059,63.721,347.049,-90.346,64.233,349.048,-107.471,36.885,348.816,-108.647,90.556,345.283,-89.664,38.033,349.883,-91.063,91.788,348.169,18.396,-25.687,2.834,0.995,0.028,0.099,-1.399,53.754,-1.714,1.632,173.154,1.581,176.643
1775398816.859,2026-04-05 19:50:16,17.822,0.487,-108.032,63.702,346.951,-90.354,64.222,349.148,-107.443,36.868,348.739,-108.621,90.536,345.162,-89.675,38.031,350.053,-91.068,91.781,348.195,18.357,-25.671,3.103,0.995,0.028,0.098,-1.392,53.75,-1.858,1.634,173.184,1.576,176.679
